[9, 10, 12, 18, 29, 31, 6]
[4, 8, 15, 17, 22, 29, 16]
[13, 21, 24, 25, 31, 33, 15]
[12, 16, 19, 22, 26, 27, 12]
[2, 5, 7, 14, 21, 33, 3]
[2, 3, 6, 8, 25, 30, 9]
[11, 14, 22, 23, 28, 30, 15]
[4, 5, 11, 25, 26, 30, 14]
[1, 2, 17, 22, 25, 32, 12]
[1, 8, 11, 14, 16, 33, 8]
[7, 10, 12, 17, 18, 31, 14]
[2, 14, 15, 21, 25, 32, 5]
[11, 16, 19, 22, 26, 30, 8]
[9, 17, 19, 22, 23, 30, 13]
[1, 2, 15, 18, 19, 33, 4]
[1, 2, 3, 12, 17, 24, 12]
[1, 6, 10, 11, 31, 32, 1]
[2, 12, 18, 19, 23, 24, 6]
[2, 8, 15, 19, 23, 28, 5]
[3, 5, 15, 18, 19, 22, 9]
[10, 18, 22, 24, 29, 31, 13]
[5, 7, 12, 16, 17, 26, 1]
[9, 20, 25, 26, 29, 33, 12]
[10, 15, 18, 23, 24, 33, 14]
[6, 8, 17, 18, 27, 31, 13]
[4, 6, 9, 12, 20, 31, 2]
[9, 12, 25, 26, 27, 32, 10]
[1, 6, 8, 22, 23, 31, 3]
[1, 8, 19, 22, 26, 32, 14]
[6, 12, 19, 20, 27, 29, 11]
[5, 11, 12, 13, 25, 26, 1]
[5, 13, 15, 19, 23, 30, 2]
[2, 8, 19, 20, 22, 33, 6]
[4, 5, 9, 13, 21, 28, 7]
[15, 17, 18, 27, 28, 30, 10]
[19, 20, 21, 24, 27, 29, 5]
[1, 14, 22, 24, 29, 31, 7]
[5, 8, 18, 19, 20, 31, 4]
[3, 8, 17, 19, 29, 32, 15]
[8, 27, 28, 29, 30, 31, 6]
[1, 3, 5, 14, 22, 32, 9]
[1, 8, 12, 24, 27, 32, 9]
[2, 10, 13, 15, 20, 31, 14]
[8, 17, 21, 27, 28, 33, 4]
[5, 20, 21, 23, 27, 33, 6]
[3, 7, 9, 10, 20, 33, 9]
[4, 10, 17, 18, 26, 31, 10]
[3, 12, 15, 27, 28, 31, 9]
[5, 6, 10, 20, 24, 30, 13]
[1, 7, 14, 15, 28, 29, 16]
[1, 8, 10, 17, 21, 24, 7]
[7, 8, 12, 21, 22, 30, 8]
[8, 19, 21, 24, 27, 31, 1]
[6, 9, 26, 27, 28, 31, 5]
[1, 4, 9, 13, 15, 28, 5]
[13, 18, 19, 29, 30, 32, 15]
[12, 13, 16, 19, 25, 30, 12]
[3, 14, 18, 24, 25, 28, 14]
[8, 13, 16, 19, 25, 29, 9]
[11, 12, 14, 17, 24, 29, 6]
[9, 19, 22, 27, 28, 31, 10]
[12, 15, 17, 24, 27, 30, 13]
[12, 22, 25, 26, 28, 30, 2]
[4, 20, 22, 26, 27, 28, 5]
[3, 11, 12, 13, 14, 19, 8]
[3, 19, 28, 29, 30, 33, 1]
[8, 9, 16, 22, 24, 33, 5]
[5, 10, 13, 16, 19, 33, 12]
[1, 16, 22, 27, 29, 31, 4]
[3, 8, 11, 21, 22, 30, 12]
[2, 9, 17, 19, 21, 29, 3]
[2, 17, 21, 23, 32, 33, 7]
[5, 7, 8, 12, 23, 26, 10]
[3, 8, 13, 16, 25, 31, 16]
[7, 14, 19, 24, 27, 29, 2]
[4, 8, 12, 16, 20, 30, 7]
[2, 5, 6, 7, 10, 23, 12]
[10, 11, 19, 20, 29, 31, 6]
[4, 5, 10, 16, 30, 31, 14]
[4, 5, 13, 19, 28, 30, 7]
[6, 10, 11, 14, 18, 19, 12]
[7, 11, 18, 22, 28, 32, 11]
[2, 10, 15, 21, 27, 33, 16]
[18, 21, 22, 26, 29, 32, 4]
[1, 3, 6, 9, 18, 25, 5]
[6, 14, 15, 17, 29, 31, 14]
[2, 3, 16, 19, 21, 29, 3]
[6, 10, 11, 12, 28, 30, 13]
[2, 8, 16, 19, 25, 29, 8]
[2, 4, 11, 13, 23, 28, 9]
[1, 10, 14, 20, 28, 30, 3]
[5, 11, 12, 20, 24, 29, 3]
[13, 20, 24, 28, 30, 32, 6]
[2, 4, 9, 11, 19, 22, 1]
[3, 5, 8, 12, 14, 23, 11]
[1, 2, 15, 18, 28, 29, 8]
[1, 2, 6, 9, 16, 32, 5]
[1, 9, 12, 16, 22, 33, 16]
[17, 18, 26, 28, 31, 33, 9]
[3, 6, 10, 12, 21, 25, 12]
